## Generation 0 
{'pos_end_effector': array([ 0.95312531, -0.91303588]), 'dist_end_effector': -3.0910489514593884, 'collision': False}
{'pos_end_effector': array([ 5.18270554, -4.62683366]), 'dist_end_effector': -8.543936359794616, 'collision': False}
{'pos_end_effector': array([-5.20335725,  2.32690571]), 'dist_end_effector': -3.9592913335354467, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.11770699, 4.82770686]), 'dist_end_effector': -5.271758382079403, 'collision': False}
{'pos_end_effector': array([-1.67892528, -1.20415659]), 'dist_end_effector': -1.2462271344285716, 'collision': False}
{'pos_end_effector': array([0.83358079, 1.47527039]), 'dist_end_effector': -3.1946209202163725, 'collision': False}
{'pos_end_effector': array([3.5778242 , 1.58763304]), 'dist_end_effector': -5.799370778327037, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.22221759, 1.39709502]), 'dist_end_effector': -5.405870057043045, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.45891502, -0.21157833]), 'dist_end_effector': -1.555541159954462, 'collision': False}
{'pos_end_effector': array([-2.36334404,  2.85559057]), 'dist_end_effector': -2.87861362537898, 'collision': False}
{'pos_end_effector': array([ 4.95065139, -3.07436012]), 'dist_end_effector': -7.600213478475924, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.0461649 ,  2.29849789]), 'dist_end_effector': -3.0167141349140616, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.48191081, 3.34502258]), 'dist_end_effector': -8.195618678359306, 'collision': False}
{'pos_end_effector': array([-0.53926656, -0.30588071]), 'dist_end_effector': -1.4924158863143993, 'collision': False}
{'pos_end_effector': array([2.43883223, 0.45402471]), 'dist_end_effector': -4.461991711110447, 'collision': False}
{'pos_end_effector': array([0.26866874, 0.79408512]), 'dist_end_effector': -2.403628308717578, 'collision': False}
{'pos_end_effector': array([-0.94050953,  2.42483383]), 'dist_end_effector': -2.6461933347569504, 'collision': False}
{'pos_end_effector': array([-0.83857783,  3.07001844]), 'dist_end_effector': -3.2823641905172707, 'collision': False}
{'pos_end_effector': array([ 1.59426822, -0.40435002]), 'dist_end_effector': -3.616941110379803, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.34622847, -6.17594933]), 'dist_end_effector': -8.855335447513307, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.01065187,  0.5618602 ]), 'dist_end_effector': -2.0671702521681783, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.46431113, 5.36094437]), 'dist_end_effector': -9.189976341538362, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.91716817, 3.10323655]), 'dist_end_effector': -4.259101687939888, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.86103483, 0.28520022]), 'dist_end_effector': -2.8752146858283174, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.60861294, -1.4510232 ]), 'dist_end_effector': -3.88941585370671, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 5.91245894, -2.50049707]), 'dist_end_effector': -8.29816196805576, 'collision': False}
{'pos_end_effector': array([-0.61663466, -1.37674685]), 'dist_end_effector': -1.9516996606867223, 'collision': False}
{'pos_end_effector': array([1.66291279, 3.24370568]), 'dist_end_effector': -4.892704431210804, 'collision': False}
{'pos_end_effector': array([ 2.93137574, -2.75862117]), 'dist_end_effector': -5.650527178306132, 'collision': False}
{'pos_end_effector': array([-1.71488985,  1.23739982]), 'dist_end_effector': -1.2698212945813103, 'collision': False}
{'pos_end_effector': array([2.47216333, 3.63414544]), 'dist_end_effector': -5.762573892954979, 'collision': False}
{'pos_end_effector': array([-0.02934557,  2.42604622]), 'dist_end_effector': -3.1255686145669075, 'collision': False}
{'pos_end_effector': array([-0.37702483, -3.21781465]), 'dist_end_effector': -3.6039394450088493, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.05987924, -1.89123889]), 'dist_end_effector': -4.478772596686073, 'collision': False}
{'pos_end_effector': array([2.11707508, 0.18309606]), 'dist_end_effector': -4.121144426879701, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.61663466, -1.37674685]), 'dist_end_effector': -1.9516996606867223, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.12556821, 1.40180962]), 'dist_end_effector': -5.313804636408362, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.37702483, -3.21781465]), 'dist_end_effector': -3.6039394450088493, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.57713015, -0.09587689]), 'dist_end_effector': -2.578912984359958, 'collision': False}
{'pos_end_effector': array([5.69916006, 1.78757343]), 'dist_end_effector': -7.903953723321302, 'collision': False}
{'pos_end_effector': array([1.71221117, 3.35524582]), 'dist_end_effector': -5.003817166231884, 'collision': False}
{'pos_end_effector': array([ 1.59426822, -0.40435002]), 'dist_end_effector': -3.616941110379803, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.04826965, -2.60911519]), 'dist_end_effector': -4.816219393556728, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.5621314 , 2.68787205]), 'dist_end_effector': -6.177536877030106, 'collision': False}
{'pos_end_effector': array([-0.98061224,  1.23179722]), 'dist_end_effector': -1.5988983068523246, 'collision': False}
{'pos_end_effector': array([-0.12046354,  0.65852551]), 'dist_end_effector': -1.9915604794874553, 'collision': False}
{'pos_end_effector': array([3.0425951 , 1.46422749]), 'dist_end_effector': -5.250878731044803, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.22275957, -2.10051427]), 'dist_end_effector': -2.7514984541788046, 'collision': False}
{'pos_end_effector': array([0.91716817, 3.10323655]), 'dist_end_effector': -4.259101687939888, 'collision': False}
{'pos_end_effector': array([1.82872442, 1.44996416]), 'dist_end_effector': -4.0940843650671415, 'collision': False}
{'pos_end_effector': array([ 4.95065139, -3.07436012]), 'dist_end_effector': -7.600213478475924, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.14170305, -1.6423052 ]), 'dist_end_effector': -1.8530623397359838, 'collision': False}
{'pos_end_effector': array([-0.79963826, -0.91317582]), 'dist_end_effector': -1.50823022195387, 'collision': False}
{'pos_end_effector': array([0.24259709, 0.79038811]), 'dist_end_effector': -2.3778046766498946, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.75660647,  3.54852448]), 'dist_end_effector': -3.7600602968239962, 'collision': False}
{'pos_end_effector': array([-1.73086802,  1.7222169 ]), 'dist_end_effector': -1.7431187731239715, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.82872442, 1.44996416]), 'dist_end_effector': -4.0940843650671415, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.95065139, -3.07436012]), 'dist_end_effector': -7.600213478475924, 'collision': False}
{'pos_end_effector': array([ 1.59426822, -0.40435002]), 'dist_end_effector': -3.616941110379803, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.06651247, -3.56949038]), 'dist_end_effector': -5.410895051240336, 'collision': False}
{'pos_end_effector': array([2.84751526, 1.79739845]), 'dist_end_effector': -5.1700140604706135, 'collision': False}
{'pos_end_effector': array([-2.41223667,  3.21153351]), 'dist_end_effector': -3.237883031859677, 'collision': False}
{'pos_end_effector': array([-0.63435785,  2.90906746]), 'dist_end_effector': -3.213666431508043, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.16240111, 0.8456811 ]), 'dist_end_effector': -6.220157871259492, 'collision': False}
{'pos_end_effector': array([ 1.00489711, -0.70944915]), 'dist_end_effector': -3.087511087664897, 'collision': False}
{'pos_end_effector': array([-0.37792181,  5.01533666]), 'dist_end_effector': -5.2711231695927685, 'collision': False}
{'pos_end_effector': array([2.11707508, 0.18309606]), 'dist_end_effector': -4.121144426879701, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.40190325, 2.45697535]), 'dist_end_effector': -5.9344154436616945, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.82872442, 1.44996416]), 'dist_end_effector': -4.0940843650671415, 'collision': False}
{'pos_end_effector': array([2.65810745, 0.98360458]), 'dist_end_effector': -4.7608237680426, 'collision': False}
{'pos_end_effector': array([1.82872442, 1.44996416]), 'dist_end_effector': -4.0940843650671415, 'collision': False}
{'pos_end_effector': array([-5.20335725,  2.32690571]), 'dist_end_effector': -3.9592913335354467, 'collision': False}
{'pos_end_effector': array([-5.20335725,  2.32690571]), 'dist_end_effector': -3.9592913335354467, 'collision': False}
{'pos_end_effector': array([-1.53995787,  2.73751603]), 'dist_end_effector': -2.77590215089866, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.25361909, -3.20479472]), 'dist_end_effector': -4.566918700687171, 'collision': False}
